(94, ('00:1f:29:57:94:f2', '00:10:ec:01:e5:43'), ('169.254.174.5', '169.254.174.2'), [2048, 17664, 76, 3196, 0, 64, 12501, 12500, 56, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 18009, 44947], [[0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0], [0, 0, 0, 0, [0, 0, 0, 0, 0]])
(350, ('00:1f:29:57:94:f2', '00:10:ec:01:e5:43'), ('169.254.174.5', '169.254.174.2'), [2048, 17664, 332, 3197, 0, 64, 12501, 12500, 312, 0, 0, 0, 0, 0, 297, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 18009, 45822], [[0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0], [0, 0, 0, 0, [0, 0, 0, 0, 0]])
(98, ('00:1f:29:57:94:f2', '00:10:ec:01:e5:43'), ('169.254.174.5', '169.254.174.2'), [2048, 17664, 80, 3198, 0, 64, 12501, 12500, 60, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 18009, 47569], [[0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0], [0, 0, 0, 0, [0, 0, 0, 0, 0]])
(590, ('00:1f:29:57:94:f2', '00:10:ec:01:e5:43'), ('169.254.174.5', '169.254.174.2'), [2048, 17664, 572, 3199, 0, 64, 12501, 12500, 552, 0, 0, 0, 0, 0, 537, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 18009, 48435], [[0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0], [0, 0, 0, 0, [0, 0, 0, 0, 0]])
(246, ('00:1f:29:57:94:f2', '00:10:ec:01:e5:43'), ('169.254.174.5', '169.254.174.2'), [2048, 17664, 228, 3200, 0, 64, 12501, 12500, 208, 0, 0, 0, 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 18009, 48450], [[0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0], [0, 0, 0, 0, [0, 0, 0, 0, 0]])
(210, ('00:1f:29:57:94:f2', '00:10:ec:01:e5:43'), ('169.254.174.5', '169.254.174.2'), [2048, 17664, 192, 3201, 0, 64, 12501, 12500, 172, 0, 0, 0, 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 18009, 51064], [[0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0], [0, 0, 0, 0, [0, 0, 0, 0, 0]])
(94, ('00:1f:29:57:94:f2', '00:10:ec:01:e5:43'), ('169.254.174.5', '169.254.174.2'), [2048, 17664, 76, 3202, 0, 64, 12501, 12500, 56, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 18009, 51938], [[0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0], [0, 0, 0, 0, [0, 0, 0, 0, 0]])
(342, ('00:1f:29:57:94:f2', '00:10:ec:01:e5:43'), ('169.254.174.5', '169.254.174.2'), [2048, 17664, 324, 3203, 0, 64, 12501, 12500, 304, 0, 0, 0, 0, 0, 289, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 18009, 51941], [[0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0], [0, 0, 0, 0, [0, 0, 0, 0, 0]])
(350, ('00:1f:29:57:94:f2', '00:10:ec:01:e5:43'), ('169.254.174.5', '169.254.174.2'), [2048, 17664, 332, 3204, 0, 64, 12501, 12500, 312, 0, 0, 0, 0, 0, 297, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 18009, 54563], [[0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0], [0, 0, 0, 0, [0, 0, 0, 0, 0]])
(98, ('00:1f:29:57:94:f2', '00:10:ec:01:e5:43'), ('169.254.174.5', '169.254.174.2'), [2048, 17664, 80, 3205, 0, 64, 12501, 12500, 60, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 18009, 55433], [[0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0], [0, 0, 0, 0, [0, 0, 0, 0, 0]])
(590, ('00:1f:29:57:94:f2', '00:10:ec:01:e5:43'), ('169.254.174.5', '169.254.174.2'), [2048, 17664, 572, 3206, 0, 64, 12501, 12500, 552, 0, 0, 0, 0, 0, 537, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 18009, 58047], [[0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0], [0, 0, 0, 0, [0, 0, 0, 0, 0]])
